rbve_id,report_namePKO,hostilityGov_None,hostilityGov_VerbalRestrictions,hostilityGov_PhysicalRestrictions,hostilityGov_ViolentRestrictions,hostilityOther_None,hostilityOther_VerbalRestrictions,hostilityOther_PhysicalRestrictions,hostilityOther_ViolentRestrictions,abuseAllegations,abuseInvestigation,sexualViolenceAllegation,sexualViolenceInvestigation,DDRprogress
381,UNMIK_S/2008/458,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,COMPLETED
380,UNMIK_S/2008/211,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
379,UNMIK_S/2007/768,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
378,UNMIK_S/2007/582,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
377,UNMIK_S/2007/395,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
376,UNMIK_S/2007/134,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
375,UNMIK_S/2006/906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
374,UNMIK_S/2006/707,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
373,UNMIK_S/2006/361,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
372,UNMIK_S/2006/45,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
371,UNMIK_S/2005/335,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
370,UNOMIG_S/1999/805,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
369,UNOMIG_S/1999/60,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
368,UNOMIG_S/1998/1012,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
367,UNMIK_S/2005/88,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
366,UNMIK_S/2004/907,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
365,UNMIK_S/2004/613,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
364,UNMIK_S/2004/348,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
363,UNMIK_S/2004/71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
362,UNOMIG_S/1998/647/Add.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
